id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000954,The Atalanta Lekythos,"On the side of this terracotta Lekythos, against a white ground, is painted the figure of Atalanta. She is the largest figure on the vessel and wears layers of drapery. Eros pursues her. Other men also surround Atalanta holding laurels and leaves.",CC0 Public Domain,Douris,Atalanta stands in the center while three Erotes fly around her.,BCE 500-490,"The Cleveland Museum of Art, Ohio, United States","Attica, Greece","Ancient Greek, Hellenisitic",ceramic,31.8 cm,CC0 Public Domain,"6-5th Century BCE, Hellenistic","Atalanta, Eros",,Ceramics
000955,The Capture of the Unicorn (The Unicorn Tapestries),"The fragmentary large tapestry shows a woman standing behind a unicorn in a garden enclosed by a wooden lattice fence on which rose vines grow. A pair of dogs beset the unicorn from behind, jumping on its back with their forepaws; in the back left, a hunter standing outside the fence blows a horn.",CC 1.0 Universal Public Domain,Unknown,Fragmentary large tapestry showing a woman standing behind a unicorn in a garden enclosed by a wooden lattice fence.,CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 168.9 x 64.8 cm,CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000956,The Caves in the district of Maros,White hand prints outlined in red on a cave wall.,CC BY-SA 3.0 Cahyo Ramadhani ,Unknown,White hand prints outlined in red on a cave wall,BCE 37000-23000,"Bantimurung district (kecamatan), South Sulawesi, Indonesia","Bantimurung district (kecamatan), South Sulawesi, Indonesia","Southeast Asian, Indonesian, Pre-Historic",limestone,,CC BY-SA 3.0 Cahyo Ramadhani ,Paleolithic,cave complex,,Painting
000957,The Coldstream Stone ,Three figures with elongated bodies and narrow joints and white faces are painted on a round stone.,CC BY-SA 3.0 Nkansah Rexford ,Unknown,Three figures with elongated bodies and narrow joints and white faces are painted on a round stone.,BCE 7000,"Iziko Museums of South Africa, Social History Collections, Cape Town, South Africa ","Lottering River, Southern part of Western Cape, South Africa","South African, Pre-Historic",polychrome stone,295 x 230 x 85 mm,CC BY-SA 3.0 Nkansah Rexford ,Neolithic,Neolithic,painted,Painting
000958,The Coyolxāuhqui Stone,"A carved, circular stone shows an armless and legless female nude torso with a rope tied around the waist.  Above it is a dismembered head with a crown.  Two forearms with hands attached, and two feet in sandals are also carved into the surface of the stone, but not attached to the torso.  A skull and two animal heads appear in the relief carvings.",CC BY-SA 2.0 miguelão,Unknown,"A circular stone shows carved reliefs of a detached torso, arms, legs, and head.",CE 1473,"Museo del Templo Mayor, Mexico City, Mexico","Tenochtitlan, Mexico City, Mexico","Mesoamerican, Aztec",basalt,3.3 m (diameter),CC BY-SA 2.0 miguelão,15th Century CE,Coyolxauhqui,carved,Sculpture
000959,The Death of the Virgin,"This wooden sculpture in high relief shows the Virgin Mary lying on a canopied bed, her eyes closed, her expression peaceful, her hands folded one over the other on her lap. Five apostles with various expressions of mourning stand behind the bed (on its left side) and five others stand or kneel in front of the bed (on its right side). Figures are considerably smaller than life-size.",CC 1.0 Universal Public Domain,Unknown,"A wooden carving on the Virgin Mary dying on a bed, surrounded by the apostles. ",CE 1490-1500,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Cologne, Germany","Northern and Western European, German, Christendom, Gothic",oak,160 x 187.3 x 43.8 cm,CC 1.0 Universal Public Domain,"15th Century CE, Gothic","St Mary, Dormition",,Sculpture
000960,The Dome of Florence Cathedral,The Biblical Last Judgment is painted with bright colors onto the dome.,CC BY-SA 4.0 Paolo Villa FOTO9273bis,Giorgio Vasari and Federico Zuccari,The Biblical Last Judgment is painted with bright colors onto the dome.,CE 1579,"Florence, Italy","Florence, Italy","Southern European, Italian, Italian Renaissance",fresco,"3,600 m² (painted surface)",CC BY-SA 4.0 Paolo Villa FOTO9273bis,"16th Century CE, Italian Renaissance",Last Judgement,,Painting
000961,The Dresden Codex ,"Three rectangular pieces of paper are shown side by side. The two panels on the right show six seated figures in profile, on the upper and the lower register, each with frames drawn around them and with Mayan pictograms above their heads. In the middle register, a four-legged animal, possibly a jaguar with an elongated body that spans the two side-by-side rectangular pages. It shows the face of a monkey on the left. The third rectangle on the right shows a grid of six boxes, three of which show figures wearing crowns, and three of which show dozens of Mayan pictograms. ",Public Domain,Unknown,Three rectangular pieces of paper are shown side by side. They are covered with rows of pictograms -- letters from the Mayan alphabet. ,CE 1200-1250,"Saxon State Library, Dresden, Germany ","Tinúm Municipality, Yucatán State, Mexico","Mesoamerican, Mexican, Mayan",,"358 cm long, 20 x 10 cm each page",Public Domain,13th Century CE,Maya,,Manuscript
000962,The Faience Hippopotamus ,"The figurine shows a hippo with round body, large head, protruding eyes and tiny ears standing on little legs. Plants from the river in which it lived are painted on the body and the head.",CC 1.0 Universal Public Domain,Unknown,"A blue hippopotamus, with river plants painted on the body and the head.",BCE 1961-1878 ca.,"The Metropolitan Museum of Art, New York, NY, USA"," Egypt, Meir, Tomb B3 of the nomarch Senbi II","Ancient Egyptian, Middle Kingdom",faience,L. 20 cm; W. 7.5 cm; H. 11.2 cm.,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Middle Kingdom, Dynasty 12",hippopotamus,,Sculpture
000963,The Goddess Durga as Slayer of the Buffalo-Demon,"A female figure stands, weight on bent left foot, with right leg extended. Primary forearms rest on thighs, with eight arms on each side raised in the air, many holding various objects like weapons and jewels. An elaborate headdress, hoop earrings, and bracelets on upper arms and wrists adorn the body. A belt at the waist affixes a hanging diadem-shaped draped cloth and tassels.",CC 1.0 Universal Public Domain,Unknown,A figurine of a female Hindu deity with many arms,CE 1350,"The Metropolitan Museum of Art, New York, NY, USA","Mahisha, Nepal","South Asian, Nepalese, Nepalese Hindu","gilt copper alloy, inlaid with semiprecious stones",22.2 x 20.3 x 8.3 cm,CC 1.0 Universal Public Domain,14th Century CE,Durga,,Sculpture
000964,"The Good Shepherd, the Story of Jonah, and Orants","This frescoed ceiling shows a central circular framed scene of Christ, standing in a belted tunic with a lamb across his shoulders, in a pasture, flanked by two sheep. Lunettes are semicircular frames that surround the centerpiece, showing key episodes from the biblical story of Jonah.","ArtStor Art History Survey Collection, Art Images for College Teaching",Unknown,This frescoed ceiling shows a central circular framed scene a standing male.,CE 300-325,"Cubiculum in the Catacomb of Santi Marcellino e Pietro ad Duas Laurodo, via Casilina, Rome, Italy","Cubiculum in the Catacomb of Saints Peter and Marcellinus, Rome","Ancient Roman, Christian Roman, Imperial Roman, Late Antiquity",fresco,,"ArtStor Art History Survey Collection, Art Images for College Teaching","4th Century CE, Imperial Rome, Late Antiquity",Early Christianity,,Painting
000965,The Great Bath at Mohenjo-Daro,"A large rectangular pit made of stone with stairs leading down into it. In the background are ruined walls of dozens of square stone buildings, rising to a domed building on a hilltop.",CC BY-SA 3.0 Saqib Qayyum,Unknown,A large rectangular pit made of stone with stairs leading down into it.,BCE 2500,"Indus River Valley, now Sindh, Pakistan","Indus River Valley, now Sindh, Pakistan","South Asian, Pre-Historic, Indus Valley Civilizations",,11.88 x 7.01 m,CC BY-SA 3.0 Saqib Qayyum,3rd Millennium BCE,Indus Valley Civilizations,,Architecture
000966,The Great Departure and the Temptation of the Buddha,"Relief panel in stone showing two scenes in the life of the Buddha; the upper register (damaged) shows the Buddha in a cross-legged seated posture, surrounded by temptations in the form of women, children, armed demons, and a war-elephant; the lower register shows the Buddha riding away from his home to seek enlightenment on a horse whose hooves are muffled by falling into the hands of divine beings.",CC 1.0 Universal Public Domain,Unknown,Relief panel in stone showing two scenes in the life of the Buddha,CE 200-250,"Metropolitan Museum of Art, Gallery 235",South Asia,"South Asian, Pakistani, Indian Buddhist, Ishvaku",limestone,H. 144.2 cm; W. 92.1 cm; D. 15.2 cm; Est. Wt. 387.5 kg,CC 1.0 Universal Public Domain,"3rd Century CE, Ikshvaku period",Buddhism,,Sculpture
000967,"The Hindu Trinity of Vishnu, Shiva, and Brahma",This relief sculpture shows the three main gods of Hinduism with their vehicles.,ArtStor Photo credit: LACMA,Unknown,Relief sculpture of the three main gods of Hinduism with their vehicles.,CE 900-1000,"Los Angeles County Museum of Art, Los Angeles, California, USA","Terai region, Bihar, India,","South Asian, Indian, Indian Hindu",black schist,57.15 x 69.21 x 15.24 cm,ArtStor Photo credit: LACMA,10-11th Century CE,Hinduism,,Sculpture
000968,The Holy Thorn Reliquary,"This gold reliquary is set with jewels and decorated with enameled figures, at its center is a small thorn supposedly from the Crown of Thorns Jesus was made to wear at his crucifixion. The base takes the form of a castle, with trumpeting angels emerging from each of the turrets. The stem shows resurrected people emerging from their coffins; above this, the main panel shows Christ in majesty with the five wounds of the crucixion prominent; he is flanked by the praying figures of the Virgin Mary (left) and St. John the Baptist (right), and surmounted by two angels. The central panel is surrounded by figures of the 12 Apostles in white enamel; above Jesus, God the Father sits crowned on a throne, two angels kneeling at his feet and a golden sunburst pattern behind him.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,"Gold reliquary set with jewels and decorated with enameled figures, at its center a thorn supposedly from the Crown of Thorns.",CE 1400,"British Museum, London, UK","Paris, France","Northern and Western European, French, Christendom, Gothic","gold, thorn, enamel, rock crystal, pearl, ruby, sapphire   ","Height: 30.5 cm
Width: 15 cm (max)
Width: 13 cm (across base)
Depth: 7 cm
Weight: 1404.65 grammes","CC BY-NC-SA 4.0 © Trustees of the British Museum,","15th Century CE, Gothic, Late Medieval",Christianity,"cabochon cut, enamelled, engraved, relief, repoussé, glazed, pointillé, burnished, stamped (19thC)  ",Metalwork
000969,The Hunters Pursue the Unicorn (The Unicorn Tapestries),This large tapestry showing hunters and dogs in a forest is set against a backdrop of flowering plants that fills the whole space.,CC 1.0 Universal Public Domain,Unknown,"Large tapestry showing hunters and dogs in a forest, set against a backdrop of flowering plants.",CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp, wool, silk, silver, and gilt wefts",Overall: 368.3 x 315 cm,CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",hunters,,Textile
000970,The Ife Head,A brass bust of a man wears a crown; his features are slightly asymmetrical in a life-like manner. The face is grooved with shallow parallel lines that follow the contours of the face. There is a double row of small punctures above the upper lip and a single row below it.,"CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,Brass bust of a man wearing a crown; his features are slightly asymmetrical in a life-like manner.,CE 1300-1400,"British Museum, London, England, UK","Ife, Osun State, Nigeria","West African, Yoruba",brass,"Height: 35 cm
Width: 12.5 cm
Depth: 15 cm","CC BY-NC-SA 4.0 © Trustees of the British Museum,",14-15th Century CE,ruler,"lost-wax cast, incised, painted",Sculpture
000971,The Kertha Gosa Pavilion at Klungkung Palace ,"A painting shows two scenes one on top of the other, divided by a line. The top painting shows a scene of worship, with a larger figure wearing a crown seated on a pedestal with six females praying to him on the right. Two males, also seated, are on the left. All wear elaborately patterned skirts. Above them are spreading tree limbs and leaves. In the bottom scene, three males threaten three females under a tree, with three birds flying overhead.",CC BY-SA 3.0 Traveler100,Unknown,A ceiling painting of scenes from Hindu epics.,CE 1700,"Klungkung, Bali, Indonesia","Klungkung, Bali, Indonesia","Southeast Asian, Indonesian, Balinese, Balinese Hinduism",,,CC BY-SA 3.0 Traveler100,18th Century CE,Mahabharata,,Painting
000972,The Makapansgat Pebble,"The photograph shows a pebble whose surface was pitted by natural forces in such a way to resemble a human face, with two sockets for eyes, a notch for a nose, and an open mouth with suggestions of teeth in it. No human hand shaped this pebble; however, its location many miles from its probable source implies it was manuported to its location near some hominid Australopithecus africanus remains.",ArtStor Department of Art History Digital Collections,Unknown,The photograph shows a pebble whose surface was pitted by natural forces in such a way to resemble a human face,"BCE 3,000,000 ","University of the Witwatersrand, Johannesburg",South Africa,"South African, Pre-Historic",jasperite,5 x 5 cm,ArtStor Department of Art History Digital Collections,Pre-history,South Africa,,Sculpture
000973,The Narmer Palette,"Two sides of the triangular-shaped carved stone palette show in low relief scenes that are arranged in three horizontal registers on each side. The left top register shows a king in human form wearing a columnar-shaped crown. His head and bare feet are shown in profile, while his torso faces front. He brandishes a club in one raised arm, while holding the hair of a kneeling bearded figure wearing a loincloth. Behind the king is a smaller sandal-bearer. The lowest register shows two defeated enemies. In the top register of the reverse side, on the right, the same king wears a different crown while marching behind a minister and men carrying standards. Before them are two stacks of dead bodies. The central register shows the intertwined, elongated necks of feline creatures. At the bottom, a bull threatens enemy walls and a body.",Public Domain,Unknown,Two sides of carved stone palette showing scenes of the king Narmer,BCE 2950-2775 ca.,"Egyptian Museum, Cairo, Egypt","Hierakonpolis, Egypt","Ancient Egyptian, Early Dynastic Period",greywacke,64 x 42 x 6.5 cm,Public Domain,"3rd Millennium BCE, Early Dynastic Period",Narmer,,Sculpture
000974,The Nestorian Stele,"The image shows a rectangular surface of dark polished stone, densely inscribed with Chinese and Syrian letters, with a smaller trapezoid shape at the top. A cross shape is etched in the apex of the triangle.",Public Domain,"Nestorian monk Jingjing
","On a rectangular surface of dark polished stone, Chinese and Syrian letters are inscribed, with a smaller trapezoid shape at the top. A cross shape is etched in the apex of the triangle.",CE 781,"Beilin Museum, Xi'an, China","Xi'an, China","East Asian, Chinese, Tang Dynasty",limestone,279 x 92.5 (upper)/102(lower) cm,Public Domain,"8th Century CE, Tang Dynasty",Nestorianism,,Sculpture
000975,The Paracas Textile,"A woven rectangular cloth made of cotton and wool shows a central rectangular area of repeating abstract faces -- two eyes and a mouth -- surrounded by geometric shapes. The border bands of this funerary mantle used to wrap dead bodies show ninety individualized, colorful figures with wings holding severed human heads.",CC BY 3.0 The Brooklyn Museum,Unknown,A woven rectangular cloth shows a central rectangular area of repeating abstract faces.,CE 100-300,Brooklyn Museum of Art,"Paracas, Peru","South American, Peruvian, Paracas","cotton, camelid fiber",62.5 x 149 cm,CC BY 3.0 The Brooklyn Museum,"2nd-4th Century CE, Early Intermediate Period",Andean textiles,,Textile
000976,"The Prophet Isaiah, Trumeau at Moissac Abbey","A statue of the Prophet Isaiah, holding a scroll and accompanied by lion-like beasts, is carved into a trumeau, which is a central pillar supporting the tympanum of a large doorway of the Moissac Abbey.",CC BY-SA 4.0 Cancre,"Saint Didier, Bishop of Cahors","A statue of the Prophet Isaiah, holding a scroll and accompanied by lion-like beasts, on a trumeau, a central pillar supporting the tympanum of a large southern doorway of the Moissac Abbey",CE 1150,"Moissac, France","Cathedral of Saint-Pierre, Moissac","Northern and Western European, French, Christendom, Romanesque",,,CC BY-SA 4.0 Cancre,"12th Century CE, Romanesque",Old Testament prophet,,Sculpture
000977,The Royal Acquaintances Memi and Sabu,"Two figures carved in stone stand side by side. The male is taller and embraces the female with a left arm over her shoulder, with his hand flat against her breast. She embraces his waist with her right arm and hand. He wears a belted kilt carved with a feathered design and a helmet-shaped headpiece. She wears a form-fitting ankle-length dress and a similar headpiece.",CC 1.0 Universal Public Domain,Unknown,Two figures carved in stone stand side by side. The male is taller and embraces the female with a left arm over her shoulder.,BCE 2575-2465,"Metropolitan Museum of Art, New York",Egypt/North Africa,"Ancient Egyptian, Old Kingdom","limestone, paint","Overall: 142.2 x 57.1 x 55.2 cm, 676.8 kg",CC 1.0 Universal Public Domain,"3rd Millennium BCE, Old Kingdom, Dynasty 4",nonroyal statuary,,Sculpture
000978,The Royal Gold Cup,"This footed cup with a lid is made of gold, with enameled scenes from the life of St. Agnes. A band of enameled Tudor roses encircle the middle of the cup's stem, above which there is a Latin inscription. The foot take the form of an openwork crown with pearls on its points.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,Footed gold cup with enameled scenes from the life of St. Agnes.,CE 1370-1380,"British Museum, London, UK",France,"Northern and Western European, French, Christendom, Gothic","gold, enamel, pearl","Height: 236 mm
Diameter: 178 mm (cup)
Diameter: 102 mm (foot)","CC BY-NC-SA 4.0 © Trustees of the British Museum,","14th Century CE, Late Medieval, Gothic",St Agnes,enamelled,Metalwork
000979,The Sutton Hoo Anastasius Dish,"A silver platter about two feet, four inches (72 centimeters) in diameter, is engraved with a roundel in the center, and numerous Mediterranean decorative motifs, birds, and human figures.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,"Large silver platter engraved with a roundel in the center, and numerous Mediterranean decorative motifs, birds, and human figures.",CE 491-518,"British Museum, G41/dc1/sB",Near East (Northern/Western Europe),"Middle Eastern, Christendom, Eastern Europe, Byzantine",silver,"Diameter: 71.8 cm
Depth: 6.3 mm (foot-ring)
Height: 9.8 cm (overall)
Weight: 564 grammes (in present condition)","CC BY-NC-SA 4.0 © Trustees of the British Museum,","5-6th Century CE, Early Byzantine",Anastasius I,"engraved, stamped",Metalwork
000980,The Sutton Hoo Helmet,"Fragments of a ceremonial helmet built onto a reconstructed iron frame. Surviving elements include a copper and gilt nose piece that stretches back over the head, eyebrows made of silver wire, and a moustache and small mouth, also copper alloy. The helmet in essence shows a highly stylized face; the badly deteriorated cheek and skull coverings seem to have been imprinted with animal and warrior scenes.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,Fragments of a ceremonial helmet built onto a reconstructed iron frame.,CE 600-625,"British Musuem, G41/dc1/sA","Northern, Western Europe","Northern and Western European, British, Anglo-Saxon","iron, copper, alloy, gold, tin, garnet, silver","Height: 31.8 centimetres (as restored)
Circumference: 74.6 centimetres (as restored, at eyebrow level)
Width: 21.5 centimetres (as restored, at rim level)
Length: 25.5 centimetres (as restored, at rim level)
Weight: 2.5 kilograms (of original, estimated)","CC BY-NC-SA 4.0 © Trustees of the British Museum,","7th Century CE, Early Anglo-Saxon",warrior,"gilded, engraved, cloisonné (inlay), tinned, stamped, cast, parcel-gilded",Metalwork
000981,The Sutton Hoo Purse-Lid,"These rims, clasps, and decorative elements are from a purse-lid; the clasps are gold, the rim is cloisonné (glass melted and solidified between wire gold rims). There are six decorative elements made of cloisonné and garnet. The top three are interlacing geometrical designs. The bottom center shows a pair of stylized birds facing each other, in profile; on the left and right of the birds is a stylized human figure with a wolf or bear at either flank, apparently attacking the figure.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,"Rim, clasps, and decorative elements from a purse-lid; the clasps are gold, the rim.",CE 600-625,"British Museum, G41/dc1/sG","Northern, Western Europe","Northern and Western European, British, Anglo-Saxon","gold, garnet, glass","Length: 19 cm (frame)
Width: 8.3 cm (frame, excl hinges)","CC BY-NC-SA 4.0 © Trustees of the British Museum,","7th Century CE, Early Anglo-Saxon",animals,"filigree, cloisonné (inlay), millefiori, stamped, inlaid",Metalwork
000982,The Sutton Hoo Shield,"Original gold fittings are set with garnets on a circular wooden shield that approximates the size and shape of the vanished original. The fittings include small gold brackets around the perimeter of the shield, a round central boss with serpentine etchings on the outer rim and a garnet set in the center, a bird shape to the right of the boss and an abstract pattern to the left, and gold straps above and below the central boss.","CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,Original gold fittings set with garnets on a circular wooden shield that approximates the size and shape of the vanished original.,CE 600-625,"British Museum, G41/dc1/sA","Northern, Western Europe","Northern and Western European, British, Anglo-Saxon","lime wood, copper, alloy, gold, garnet, iron","Diameter: 91.4 cm
Thickness: 7 mm (maximum)
Weight: 3 grammes (of original, estimated)","CC BY-NC-SA 4.0 © Trustees of the British Museum,","7th Century CE, Early Anglo-Saxon",Anglo-Saxon,,Metalwork
000983,The Ten Avatars of Vishnu,"This is a painting which diagrams the ten avatars of Vishnu.  The boxed image in the center shows a male and female pair, flanked by attendants.  Surrounding the central box are nine other boxed illustrations of figures in various guises.",ArtStor: The Archive for Research on Archetypal Symbolism,Unknown,A central box shows a male and female pair.  Nine other boxes containing figures surround it.,CE 1825,"The Victoria and Albert Museum, London","Jaipur, India","South Asian, Indian, Hinduism, Buddhism",,,ArtStor: The Archive for Research on Archetypal Symbolism,19th Century CE,Dashavatara,,Painting
000984,The Unicorn Attacked (The Unicorn Tapestries),"This large tapestry shows the unicorn in a stream at the center of the picture space, surrounded by hunters bearing pikes and by dogs, several of which are also in the stream. A castle is depicted in the distance at the upper right of the tapestry.",CC 1.0 Universal Public Domain,Unknown,"Tapestry showing a unicorn in a stream, surrounded by hunters bearing pikes and by dogs.",CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 145 x 168in. (368.3 x 426.7cm),CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000985,The Unicorn Defends Itself (The Unicorn Tapestries),"This large tapestry shows a unicorn in a forest, surrounded by hunters carrying pikes and by hunting dogs. The unicorn is shown piercing the side of a hunting dog with its horn and kicking with its back legs at a hunter who is aiming a pike at its backside.",CC 1.0 Universal Public Domain,Unknown,"Tapestry showing a unicorn in a forest, surrounded by hunters carrying pikes and by hunting dogs.",CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 145 x 158 in. (368.3 x 401.3cm),CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000986,The Unicorn Found (The Unicorn Tapestries),"This large tapestry shows the unicorn at the center bottom as it dips its horn into a stream. In the foreground, a collection of wild animals are gathered; behind the unicorn is a circular stone fountain from which a pheasant drinks. Hunters and dogs half-hidden by bushes surround the unicorn and fountain in a semi-circle. A castle can be glimpsed through the trees in the upper left corner of the tapestry.",CC 1.0 Universal Public Domain,Unknown,Tapestry showing a unicorn dipping its horn into a stream where a collection of wild animals are gathered.,CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 145 x 149in. (368.3 x 378.5cm),CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000987,The Unicorn in Captivity (The Unicorn Tapestries),"This large tapestry shows a unicorn with a jeweled collar beside a pomegranate tree in a circular fenced enclosure, all against a backdrop of flowering plants that fill the whole space.",CC 1.0 Universal Public Domain,Unknown,Tapestry showing a unicorn with a jeweled collar beside a pomegranate tree in a circular fenced enclosure.,CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 144 7/8 x 99 in. (368 x 251.5 cm),CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000988,The Unicorn is Killed (The Unicorn Tapestries),"This large tapestry shows a unicorn being gored by pikes in the upper left corner, and in the center its body, surrounded by hunters and dogs, being carried across the back of a horse toward a castle in the distance. A group of well-dressed nobles, both men and women, stand gesturing at the unicorn in the lower right corner, between the animal and the castle.",CC 1.0 Universal Public Domain,Unknown,Tapestry showing a unicorn being gored by pikes in the upper left; in the center its body is carried away while nobles look on.,CE 1495-1505,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom, Gothic","wool warp with wool, silk, silver, and gilt wefts",Overall: 145 x 153in. (368.3 x 388.6cm),CC 1.0 Universal Public Domain,"15-16th Century CE, Gothic",unicorn,,Textile
000989,The Wilton Diptych,"This tempera painting shows the saints (from left to right) Edmund, Edward, and John the Baptist presenting King Richard II of England to the Virgin Mary and the infant Jesus, surrounded by angels.",Public Domain,Unknown,"Tempera painting showing three saints presenting King Richard II of England to the Virgin Mary and the infant Jesus, surrounded by angels.",CE 1395-1400,"National Gallery, London, UK","England, UK","Northern and Western European, Netherlandish, Christendom, Gothic",tempera on panel,53 x 37 cm,Public Domain,"14th Century CE, Gothic","Richard II, Christianity",,Painting
000990,The Ziggurat of Ur ,A massive rectangular pyramidal structure shows three terraces with staircases.,Public Domain,Unknown,A massive rectangular pyramidal structure shows three terraces with staircases.,BCE 4500-4000 ,Southern Iraq,"Ur, Sumerian city, now Dhi Qar in southern Iraq","Middle Eastern, Mesopotamian, Sumerian",mud brick with burnt brick facing, L. 64 x W. 46 x H. 30 m,Public Domain,"5th Millennium BCE, Neo-Sumerian",Sumer,,Architecture
000991,Theater at Epidaurus,"34 rows of raked seats fan out and up from a circular stage, behind which is a rectangular shape of low stone walls in ruins, flanked by double square arches. Behind the stones is a plaza, and some trees. On the horizon are distant mountains.",CC BY-SA 4.0 Lindsay Davies,Unknown,"34 rows of raked seats fan out and up from a circular stage, behind which is a rectangular stage",BCE 380,"Cynortion Mountain, near modern Lygourio, Argolid Prefecture, Greece","Cynortion Mountain, Epidaurus,  Argolid Peninsula,  Saronic Gulf, Greece","Ancient Greek, Classical Greek",,Highest concave: 58 m; circular orchestra: 20 meters,CC BY-SA 4.0 Lindsay Davies,"4th Century BCE, Classical Greece",amphitheater,,Architecture
000992,Theater of Delphi,Stone amphitheater with circular stage and 35 rows of stone benches.,CC 3.0 BY-SA  Mark Cartwright,Unknown,Stone amphitheater with circular stage and 35 rows of stone benches.,BCE 399-300,Archaeological Site of Delphi,"Delphi, Greece","Ancient Greek, Classical Greek",,,CC 3.0 BY-SA  Mark Cartwright,"4th Century BCE, Classical Greece",amphitheater,,Architecture
000993,Theater of Dionysus -- Acropolis,"Rows of seats are arranged in a semi-circle, built into a sloping hill, half-surrounding a U-shaped stone orchestra. A raised stone platform and a walkway crosses the open end of the semi-circle in front of a group of trees. Clusters of modern apartment buildings of Athens can be seen beyond the trees.",CC BY-SA 4.0 Lindsay Davies,Unknown,"Rows of seats are arranged in a semi-circle, built into a sloping hill, with a raised stone platform crossing the open end.",BCE 350 ca.,"Athens, Greece","Athens, Greece","Ancient Greek, Classical Greek",,radius: 380 m,CC BY-SA 4.0 Lindsay Davies,"4th Century BCE, Classical Greece",amphitheater,,Architecture
000994,"Theodora mosaic, San Vitale","This mosaic mural is of the Empress Theodora and attendants. Theodora is dressed in an embellished robe and crown, and around her head is a halo. She holds a bowl. Two male attendants stand to her left, seven female attendants to her right. The leftmost attendant holds open a curtain, leading to a darkened room. In front of the doorway is a fountain on a Corinthian column. The figures are elongated and flat. The background consists of a niche, framing Theodora and her closest attendants. To her right, above her female attendants, there is a striped valence. The colors are very bright. A considerable portion of the mosaic is composed of gold tesserae.",Public Domain,Unknown,"Mosaic mural of the Empress Theodora and attendants. She holds a bowl and is dressed in an embellished robe and crown, around her head is a halo. ",CE 527-547,"Ravenna, Italy","Ravenna, Italy","Southern European, Italian, Christendom, Byzantine",,2.64 x 3.65 m,Public Domain,6th Century CE,,,Mosaic
000995,Tholos entrance (treasury of Atreus),Entrance to Mycenaean tholos or beehive tomb. Post and lintel doorway with a triangular opening above the lintel. The wall is composed of large blocks set into a mound-shaped hillside.,CC 3.0 BY-NC-SA  Mark Cartwright,Unknown,Entrance to a beehive-shaped tomb.,BCE 1450-1400,Greece,Mycenae,"Ancient Greek, Mycenean",dry-stone,13.5 x 14.6 m,CC 3.0 BY-NC-SA  Mark Cartwright,"2nd Millennium BCE, Mycenean",beehive tomb,,Architecture
000996,Tholos interior (treasury of Atreus),Vault and interior of Mycenaean tholos. Beehive shaped tomb.,CC 3.0 BY-SA  Mark Cartwrigh,Unknown,Vault and interior of a beehive shaped tomb.,BCE 1450-1400,Greece,Mycenae,"Ancient Greek, Mycenean",dry-stone,13.5 x 14.6 m,CC 3.0 BY-SA  Mark Cartwrigh,"2nd Millennium BCE, Mycenean",beehive tomb,,Architecture
